Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,Independent,Moderate,White,Male,Catholic,30000-49999,College,45-64,Northeast,Approve,McCain
4,Republican,Liberal,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,Northeast,Approve,Obama
5,Democratic,Moderate,White,Male,Catholic,Less than 30000,College,30-44,Midwest,Disapprove,McCain
6,Democratic,Conservative,White,Female,Protestant,30000-49999,H.S. diploma or less,30-44,West,Disapprove,Obama
7,Democratic,Moderate,White,Male,Protestant,Less than 30000,H.S. diploma or less,45-64,South,Disapprove,McCain
8,Independent,Liberal,White,Male,Catholic,50000-74999,Post-Grad,18-29,Northeast,Disapprove,Obama
9,Independent,Moderate,Black,Female,Protestant,150000+,College,45-64,Northeast,Disapprove,Obama
10,Democratic,Conservative,Other,Female,Protestant,75000-99999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
11,Republican,Liberal,White,Female,Catholic,100000-149999,College,30-44,South,Disapprove,Obama
12,Independent,Conservative,Black,Female,Protestant,Less than 30000,Post-Grad,45-64,Northeast,Approve,Obama
13,Democratic,Conservative,White,Male,Catholic,50000-74999,College,18-29,South,Approve,Obama
14,Independent,Liberal,White,Female,Protestant,150000+,College,18-29,Midwest,Disapprove,Obama
15,Democratic,Moderate,Other,Female,Protestant,Less than 30000,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
16,Republican,Liberal,Black,Male,Catholic,75000-99999,College,45-64,South,Approve,Obama
17,Independent,Moderate,White,Female,Other,Less than 30000,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
18,Republican,Liberal,White,Male,Protestant,30000-49999,College,45-64,Northeast,Approve,McCain
19,Republican,Conservative,White,Male,Catholic,150000+,Post-Grad,30-44,Midwest,Approve,McCain
20,Democratic,Moderate,White,Female,Protestant,150000+,Post-Grad,18-29,South,Disapprove,Obama
21,Independent,Moderate,White,Female,Other,30000-49999,College,45-64,Northeast,Disapprove,Obama
22,Democratic,Moderate,White,Female,Other,150000+,College,30-44,West,Disapprove,Obama
