Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,Republican,Conservative,White,Female,Protestant,50000-74999,H.S. diploma or less,30-44,West,Disapprove,Obama
4,Republican,Conservative,White,Male,Protestant,30000-49999,Post-Grad,30-44,South,Disapprove,Obama
5,Republican,Moderate,Black,Female,Protestant,100000-149999,College,45-64,South,Disapprove,Obama
6,Democratic,Moderate,Other,Male,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
7,Democratic,Moderate,White,Female,Protestant,50000-74999,College,18-29,Midwest,Disapprove,Obama
8,Democratic,Moderate,White,Female,Protestant,150000+,College,45-64,Northeast,Approve,Obama
9,Democratic,Liberal,White,Male,Protestant,Less than 30000,Post-Grad,45-64,Northeast,Approve,Obama
10,Independent,Moderate,White,Male,Protestant,75000-99999,H.S. diploma or less,18-29,South,Disapprove,Obama
11,Republican,Moderate,White,Male,Catholic,75000-99999,College,45-64,South,Disapprove,McCain
12,Independent,Conservative,White,Male,Catholic,Less than 30000,Post-Grad,18-29,Midwest,Disapprove,Obama
13,Democratic,Conservative,White,Male,Protestant,30000-49999,College,65+,West,Disapprove,McCain
14,Republican,Conservative,Other,Female,Protestant,100000-149999,Post-Grad,30-44,Midwest,Approve,Obama
15,Independent,Moderate,Black,Female,Catholic,100000-149999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
16,Republican,Moderate,White,Male,Protestant,50000-74999,College,18-29,South,Approve,Obama
17,Democratic,Moderate,Black,Male,Protestant,50000-74999,Post-Grad,18-29,South,Disapprove,Obama
18,Democratic,Conservative,White,Female,Protestant,75000-99999,Post-Grad,45-64,Northeast,Disapprove,Obama
19,Independent,Moderate,White,Female,Catholic,Less than 30000,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
20,Democratic,Moderate,Black,Male,Catholic,30000-49999,College,30-44,South,Approve,Obama
21,Republican,Moderate,White,Male,Protestant,50000-74999,College,65+,South,Disapprove,McCain
22,Independent,Liberal,Other,Female,Protestant,Less than 30000,College,30-44,West,Approve,Obama
23,Republican,Liberal,White,Male,Protestant,30000-49999,College,30-44,West,Disapprove,Obama
24,Independent,Liberal,White,Male,Catholic,50000-74999,College,65+,West,Approve,Obama
25,Democratic,Conservative,White,Female,Protestant,75000-99999,Post-Grad,30-44,West,Disapprove,Obama
26,Republican,Conservative,White,Female,Protestant,150000+,Post-Grad,45-64,Midwest,Disapprove,McCain
27,Independent,Moderate,Black,Female,Catholic,30000-49999,H.S. diploma or less,65+,Midwest,Disapprove,Obama
28,Republican,Moderate,White,Male,Protestant,150000+,College,30-44,West,Approve,Obama
29,Democratic,Liberal,White,Female,Protestant,100000-149999,College,30-44,West,Approve,Obama
30,Republican,Liberal,White,Female,Protestant,50000-74999,Post-Grad,45-64,West,Disapprove,Obama
31,Democratic,Moderate,White,Male,Protestant,Less than 30000,H.S. diploma or less,45-64,South,Disapprove,Obama
32,Independent,Moderate,White,Female,Catholic,30000-49999,College,65+,South,Disapprove,Obama
33,Democratic,Moderate,Other,Female,Protestant,50000-74999,College,18-29,Midwest,Disapprove,Obama
34,Republican,Moderate,White,Male,Protestant,50000-74999,College,30-44,Midwest,Disapprove,Obama
35,Independent,Liberal,White,Male,Protestant,150000+,Post-Grad,45-64,West,Disapprove,Obama
36,Independent,Conservative,White,Male,Catholic,Less than 30000,College,45-64,Northeast,Approve,Obama
37,Independent,Moderate,White,Female,Catholic,50000-74999,College,65+,Northeast,Disapprove,McCain
38,Democratic,Conservative,White,Female,Protestant,75000-99999,College,18-29,Midwest,Disapprove,Obama
39,Independent,Moderate,White,Female,Protestant,Less than 30000,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
40,Democratic,Moderate,Other,Female,Catholic,50000-74999,College,45-64,South,Approve,Obama
41,Republican,Liberal,White,Female,Other,50000-74999,College,30-44,Northeast,Disapprove,Obama
42,Democratic,Liberal,Other,Female,Catholic,50000-74999,College,45-64,West,Approve,Obama
43,Democratic,Moderate,White,Male,Catholic,100000-149999,College,45-64,Northeast,Disapprove,Obama
44,Democratic,Liberal,White,Male,Catholic,30000-49999,College,18-29,Midwest,Approve,Obama
